Game#,Date,Home Team,Away Team,Home Score,Away Score,N/CT/NT,Winning Team,Losing Team,Margin
499,408,Georgia,Alabama,9,6,,Georgia,Alabama,3
500,408,Illinois State,Indiana,8,11,,Indiana,Illinois State,3
501,408,Texas A&M,Clemson,10,12,N,Clemson,Texas A&M,2
502,408,Boston College,Minnesota,10,12,N,Minnesota,Boston College,2
503,408,Washington,Boise State,12,10,,Washington,Boise State,2
504,408,Brigham Young,Colorado,7,9,,Colorado,Brigham Young,2
505,408,Connecticut,New Hampshire,10,8,,Connecticut,New Hampshire,2
506,408,Utah,Colorado State,7,6,,Utah,Colorado State,1
507,408,Elon,George Washington,8,7,,Elon,George Washington,1
508,409,Loyola Marymount,Claremont,4,20,,Claremont,Loyola Marymount,16
509,409,Washington State,Oregon,5,19,,Oregon,Washington State,14
510,409,Florida Atlantic,Florida,6,20,,Florida,Florida Atlantic,14
511,409,Western Michigan,West Virginia,19,6,N,Western Michigan,West Virginia,13
512,409,Cal Poly,Dominican U.,17,7,,Cal Poly,Dominican U.,10
513,409,Pittsburgh,Minnesota,10,20,,Minnesota,Pittsburgh,10
514,409,Illinois State,Purdue,6,15,,Purdue,Illinois State,9
515,409,Buffalo,Boston College,8,16,,Boston College,Buffalo,8
516,409,North Carolina State,George Washington,10,3,,North Carolina State,George Washington,7
517,409,TCU,North Texas,13,6,,TCU,North Texas,7
518,409,Virginia Tech,Davenport,15,9,,Virginia Tech,Davenport,6
519,409,Elon,South Carolina,5,11,,South Carolina,Elon,6
520,409,Arkansas,Houston,15,11,,Arkansas,Houston,4
521,409,Mississippi,Texas A&M,18,19,,Texas A&M,Mississippi,1
522,409,Creighton,Nebraska,11,10,,Creighton,Nebraska,1
523,409,Idaho,Gonzaga,10,11,,Gonzaga,Idaho,1
524,409,Illinois,Indiana,11,10,,Illinois,Indiana,1
525,409,St. Louis U.,Kansas State,6,7,,Kansas State,St. Louis U.,1
526,411,Michigan State,Oakland,23,6,,Michigan State,Oakland,17
527,411,Utah,Utah Valley,12,5,,Utah,Utah Valley,7
528,412,Grand Valley State,Michigan State,1,12,,Michigan State,Grand Valley State,11
529,412,Rhode Island,Connecticut,5,14,N,Connecticut,Rhode Island,9
530,412,North Carolina State,Elon,8,2,,North Carolina State,Elon,6
531,412,New Hampshire,Northeastern,6,10,,Northeastern,New Hampshire,4
532,413,Pittsburgh,West Virginia,21,4,N,Pittsburgh,West Virginia,17
533,413,USC,UCLA,17,7,,USC,UCLA,10
534,413,Utah,Texas,8,10,,Texas,Utah,2
535,414,Montana,Washington State,20,6,,Montana,Washington State,14
536,414,Nebraska,Missouri,6,17,,Missouri,Nebraska,11
537,414,Nevada,Santa Clara,5,15,,Santa Clara,Nevada,10
538,414,Oakland,Western Michigan,9,18,,Western Michigan,Oakland,9
539,414,Minnesota,Davenport,14,8,,Minnesota,Davenport,6
540,414,Connecticut,Buffalo,7,3,,Connecticut,Buffalo,4
541,414,Clemson,South Carolina,15,11,,Clemson,South Carolina,4
542,414,Miami (OH),Central Michigan,7,10,,Central Michigan,Miami (OH),3
543,414,Florida,Florida State,8,10,,Florida State,Florida,2
544,415,Dominican U.,Chico State,17,1,,Dominican U.,Chico State,16
545,415,Grand Canyon,San Diego State,20,7,,Grand Canyon,San Diego State,13
546,415,Great Falls,Washington State,15,2,N,Great Falls,Washington State,13
547,415,South Florida,Central Florida,6,17,,Central Florida,South Florida,11
548,415,Florida Atlantic,Miami (FL),9,19,,Miami (FL),Florida Atlantic,10
549,415,Oregon,Washington,16,7,,Oregon,Washington,9
550,415,Arizona State,Arizona,14,6,,Arizona State,Arizona,8
551,415,New Hampshire,Rhode Island,16,8,,New Hampshire,Rhode Island,8
552,415,Simon Fraser,Oregon State,9,4,,Simon Fraser,Oregon State,5
553,415,Georgia,Georgia Tech,11,16,,Georgia Tech,Georgia,5
554,415,Northeastern,Buffalo,10,5,,Northeastern,Buffalo,5
555,415,Houston,Rice,7,11,,Rice,Houston,4
556,415,Minnesota,St. Thomas,13,9,,Minnesota,St. Thomas,4
557,415,Colorado State,Colorado,13,16,,Colorado,Colorado State,3
558,415,Central Michigan,Vanderbilt,16,13,N,Central Michigan,Vanderbilt,3
559,415,California,Cal Poly,10,13,,Cal Poly,California,3
560,415,Stanford,Sonoma State,11,13,,Sonoma State,Stanford,2
561,415,Chapman,UC Santa Barbara,11,9,,Chapman,UC Santa Barbara,2
562,415,Indiana,Purdue,9,7,,Indiana,Purdue,2
563,415,Montana,Idaho,12,11,,Montana,Idaho,1
564,415,Brigham Young,Texas,10,9,,Brigham Young,Texas,1
565,415,Miami (OH),Vanderbilt,12,11,,Miami (OH),Vanderbilt,1
566,415,Auburn,Alabama,7,6,,Auburn,Alabama,1
567,415,Virginia Tech,Liberty,14,13,,Virginia Tech,Liberty,1
568,419,Michigan State,Central Michigan,21,5,,Michigan State,Central Michigan,16
569,419,Utah Valley,Brigham Young,6,15,,Brigham Young,Utah Valley,9
570,419,Dominican U.,Sonoma State,5,11,,Sonoma State,Dominican U.,6
571,419,San Diego,San Diego State,8,3,,San Diego,San Diego State,5
572,419,Northeastern,Connecticut,8,10,,Connecticut,Northeastern,2
573,421,Davenport,Oakland,27,7,,Davenport,Oakland,20
574,421,Stanford,California,5,16,,California,Stanford,11
575,421,Boston College,Northeastern,12,5,,Boston College,Northeastern,7
576,421,Virginia Tech,Florida,12,6,CT,Virginia Tech,Florida,6
577,421,Georgia Tech,North Carolina State,12,8,CT,Georgia Tech,North Carolina State,4
578,421,Missouri,Kansas,11,8,,Missouri,Kansas,3
579,421,Buffalo,Pittsburgh,7,5,,Buffalo,Pittsburgh,2
580,421,Clemson,Auburn,4,6,CT,Auburn,Clemson,2
581,421,Boise State,Idaho,12,11,,Boise State,Idaho,1
582,421,Florida State,Liberty,9,10,CT,Liberty,Florida State,1
583,422,C. of Idaho,Washington State,19,4,,C. of Idaho,Washington State,15
584,422,Texas,Arkansas,18,3,CT,Texas,Arkansas,15
585,422,Auburn,Liberty,5,17,CT,Liberty,Auburn,12
586,422,Nebraska,St. Louis U.,12,2,,Nebraska,St. Louis U.,10
587,422,Simon Fraser,Washington,16,6,,Simon Fraser,Washington,10
588,422,Purdue,Illinois,11,4,,Purdue,Illinois,7
589,422,Missouri,Kansas State,10,3,,Missouri,Kansas State,7
590,422,Oregon State,Oregon,7,14,,Oregon,Oregon State,7
